identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/InvoicingEntity,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/PurchaseOption,product/accessType,product/alarmType,product/attachmentType,product/availability,product/availabilityZone,product/backupservice,product/cacheEngine,product/capacitystatus,product/category,product/ciType,product/classicnetworkingsupport,product/clockSpeed,product/computeFamily,product/contentType,product/countsAgainstQuota,product/cputype,product/currentGeneration,product/dataTransferQuota,product/databaseEngine,product/datatransferout,product/dedicatedEbsThroughput,product/deploymentOption,product/describes,product/description,product/disableactivationconfirmationemail,product/durability,product/ecu,product/endpointType,product/engineCode,product/enhancedNetworkingSupported,product/equivalentondemandsku,product/eventType,product/findingGroup,product/findingSource,product/findingStorage,product/freeOverage,product/freeQueryTypes,product/fromLocation,product/fromLocationType,product/fromRegionCode,product/gets,product/granularity,product/graphqloperation,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/intelAvx2Available,product/intelAvxAvailable,product/intelTurboAvailable,product/io,product/licenseModel,product/location,product/locationType,product/logsDestination,product/marketoption,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/memoryGib,product/memorytype,product/messageDeliveryFrequency,product/messageDeliveryOrder,product/minVolumeSize,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/opsItems,product/origin,product/overageType,product/overhead,product/physicalProcessor,product/platopricingtype,product/platostoragetype,product/platousagetype,product/platovolumetype,product/preInstalledSw,product/pricingUnit,product/processorArchitecture,product/processorFeatures,product/productFamily,product/protocol,product/provisioned,product/purchaseterm,product/queueType,product/recipient,product/region,product/regionCode,product/requestDescription,product/requestType,product/resourceEndpoint,product/routingTarget,product/routingType,product/servicecode,product/servicename,product/sku,product/softwareType,product/standardGroup,product/standardStorage,product/steps,product/storage,product/storageClass,product/storageFamily,product/storageMedia,product/storageType,product/tenancy,product/tiertype,product/toLocation,product/toLocationType,product/toRegionCode,product/transferType,product/updates,product/usageFamily,product/usagetype,product/vcpu,product/version,product/volumeApiName,product/volumeType,product/vpcnetworkingsupport,product/withActiveUsers,pricing/LeaseContractLength,pricing/OfferingClass,pricing/PurchaseOption,pricing/RateCode,pricing/RateId,pricing/currency,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/NumberOfReservations,reservation/RecurringFeeForUsage,reservation/ReservationARN,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue,savingsPlan/TotalCommitmentToDate,savingsPlan/SavingsPlanARN,savingsPlan/SavingsPlanRate,savingsPlan/UsedCommitment,savingsPlan/SavingsPlanEffectiveCost,savingsPlan/AmortizedUpfrontCommitmentForBillingPeriod,savingsPlan/RecurringCommitmentForBillingPeriod,savingsPlan/StartTime,savingsPlan/EndTime,savingsPlan/InstanceTypeFamily,savingsPlan/OfferingType,savingsPlan/PaymentOption,savingsPlan/PurchaseTerm,savingsPlan/Region,resourceTags/user:Name,resourceTags/user:Owner,resourceTags/user:app,resourceTags/user:module
cratrcxxqdacahgchp7oml7oc43qitnlsncdvvpjrimdmnujj35q,2022-09-01T00:00:00Z/2022-10-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Tax,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,AmazonEC2,USW2-EBS:VolumeUsage,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type USW2-EBS:VolumeUsage,USSalesTax,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayze5xkeynjmn5ye6o2ppifqweug7sotbarwiflex5gyshmv7hdq,2022-09-01T00:00:00Z/2022-10-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Tax,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,AmazonMSK,USE2-Kafka.Storage.GP2,RunVolume,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonMSK usage type USE2-Kafka.Storage.GP2 operation RunVolume,USSalesTax,"Amazon Web Services, Inc.",Amazon Managed Streaming for Apache Kafka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4rscm7bhbvkcilz4k4tl556n7boesuxugleptb2qbybiwnnr257q,2022-09-01T00:00:00Z/2022-10-01T00:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Tax,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,AmazonRDS,USW1-InstanceUsage:db.t2.micro,CreateDBInstance:0014,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonRDS usage type USW1-InstanceUsage:db.t2.micro operation CreateDBInstance:0014,USSalesTax,"Amazon Web Services, Inc.",Amazon Relational Database Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ynaud3dpzaya5fwhbbon6pr3eph5gz6ztm25lj4bnmm7m5x7oa,2022-09-05T09:00:00Z/2022-09-05T10:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-05T09:00:00Z,2022-09-05T10:00:00Z,AmazonDynamoDB,SAE1-ReadCapacityUnit-Hrs,CommittedThroughput,sa-east-1,arn:aws:dynamodb:sa-east-1:502379301106:table/Invocations,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per hour for 25 units of read capacity for a month (free tier),,"Amazon Web Services, Inc.",Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDB-ReadUnits,DynamoDB Provisioned Read Units,,,,,,,,,South America (Sao Paulo),AWS Region,,,,,,,,,,,,,,,,CommittedThroughput,,,,,,,,,,,,,,Provisioned IOPS,,,,,,sa-east-1,sa-east-1,,,,,,AmazonDynamoDB,Amazon DynamoDB,27PU8VNH2D3KDTZG,,,,,,,,,,,,,,,,,,SAE1-ReadCapacityUnit-Hrs,,,,,,,,,,27PU8VNH2D3KDTZG.JRTCKXETXF.HBHVWY47CM,9477908477,USD,0.0001950000,0.0001950000,OnDemand,ReadCapacityUnit-Hrs,,,,,,,,,,,55308512,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ynaud3dpzaya5fwhbbon6pr3eph5gz6ztm25lj4bnmm7m5x7oa,2022-09-06T05:00:00Z/2022-09-06T06:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-06T05:00:00Z,2022-09-06T06:00:00Z,AmazonDynamoDB,SAE1-ReadCapacityUnit-Hrs,CommittedThroughput,sa-east-1,arn:aws:dynamodb:sa-east-1:502379301106:table/Invocations,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per hour for 25 units of read capacity for a month (free tier),,"Amazon Web Services, Inc.",Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDB-ReadUnits,DynamoDB Provisioned Read Units,,,,,,,,,South America (Sao Paulo),AWS Region,,,,,,,,,,,,,,,,CommittedThroughput,,,,,,,,,,,,,,Provisioned IOPS,,,,,,sa-east-1,sa-east-1,,,,,,AmazonDynamoDB,Amazon DynamoDB,27PU8VNH2D3KDTZG,,,,,,,,,,,,,,,,,,SAE1-ReadCapacityUnit-Hrs,,,,,,,,,,27PU8VNH2D3KDTZG.JRTCKXETXF.HBHVWY47CM,9477908477,USD,0.0001950000,0.0001950000,OnDemand,ReadCapacityUnit-Hrs,,,,,,,,,,,55308512,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ynaud3dpzaya5fwhbbon6pr3eph5gz6ztm25lj4bnmm7m5x7oa,2022-09-18T18:00:00Z/2022-09-18T19:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-18T18:00:00Z,2022-09-18T19:00:00Z,AmazonDynamoDB,SAE1-ReadCapacityUnit-Hrs,CommittedThroughput,sa-east-1,arn:aws:dynamodb:sa-east-1:502379301106:table/Invocations,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per hour for 25 units of read capacity for a month (free tier),,"Amazon Web Services, Inc.",Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDB-ReadUnits,DynamoDB Provisioned Read Units,,,,,,,,,South America (Sao Paulo),AWS Region,,,,,,,,,,,,,,,,CommittedThroughput,,,,,,,,,,,,,,Provisioned IOPS,,,,,,sa-east-1,sa-east-1,,,,,,AmazonDynamoDB,Amazon DynamoDB,27PU8VNH2D3KDTZG,,,,,,,,,,,,,,,,,,SAE1-ReadCapacityUnit-Hrs,,,,,,,,,,27PU8VNH2D3KDTZG.JRTCKXETXF.HBHVWY47CM,9477908477,USD,0.0001950000,0.0001950000,OnDemand,ReadCapacityUnit-Hrs,,,,,,,,,,,55308512,,,,,,,,,,,,,,,,,,,,,,,,,,
a7ynaud3dpzaya5fwhbbon6pr3eph5gz6ztm25lj4bnmm7m5x7oa,2022-09-20T00:00:00Z/2022-09-20T01:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z,AmazonDynamoDB,SAE1-ReadCapacityUnit-Hrs,CommittedThroughput,sa-east-1,arn:aws:dynamodb:sa-east-1:502379301106:table/Invocations,1.0000000000,,,USD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,$0.00 per hour for 25 units of read capacity for a month (free tier),,"Amazon Web Services, Inc.",Amazon DynamoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDB-ReadUnits,DynamoDB Provisioned Read Units,,,,,,,,,South America (Sao Paulo),AWS Region,,,,,,,,,,,,,,,,CommittedThroughput,,,,,,,,,,,,,,Provisioned IOPS,,,,,,sa-east-1,sa-east-1,,,,,,AmazonDynamoDB,Amazon DynamoDB,27PU8VNH2D3KDTZG,,,,,,,,,,,,,,,,,,SAE1-ReadCapacityUnit-Hrs,,,,,,,,,,27PU8VNH2D3KDTZG.JRTCKXETXF.HBHVWY47CM,9477908477,USD,0.0001950000,0.0001950000,OnDemand,ReadCapacityUnit-Hrs,,,,,,,,,,,55308512,,,,,,,,,,,,,,,,,,,,,,,,,,
etwotdx7nhd6sd4qlm5s46b3blpxlvgr3ce5fkupnftixy46ulga,2022-09-02T11:00:00Z/2022-09-02T12:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-02T11:00:00Z,2022-09-02T12:00:00Z,AmazonCloudWatch,USE2-CW:AlarmMonitorUsage,Unknown,,,0.4111111111,,,USD,0.1000000000,0.0411111111,0.1000000000,0.0411111111,$0.10 per alarm metric month (standard resolution) - US East (Ohio),,"Amazon Web Services, Inc.",AmazonCloudWatch,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,CloudWatch Alarms,,,,,,,,,US East (Ohio),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,,,,,,us-east-2,us-east-2,,,,,,AmazonCloudWatch,AmazonCloudWatch,28VSMYRVQXUWCTMA,,,,,,,,,,,,,,,,,,USE2-CW:AlarmMonitorUsage,,,,,,,,,,28VSMYRVQXUWCTMA.JRTCKXETXF.6YS6EN2CT7,9214138785,USD,0.0411111111,0.1000000000,OnDemand,Alarms,,,,,,,,,,,74602618,,,,,,,,,,,,,,,,,,,,,,,,,,
etwotdx7nhd6sd4qlm5s46b3blpxlvgr3ce5fkupnftixy46ulga,2022-09-03T04:00:00Z/2022-09-03T05:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-03T04:00:00Z,2022-09-03T05:00:00Z,AmazonCloudWatch,USE2-CW:AlarmMonitorUsage,Unknown,,,0.4111111111,,,USD,0.1000000000,0.0411111111,0.1000000000,0.0411111111,$0.10 per alarm metric month (standard resolution) - US East (Ohio),,"Amazon Web Services, Inc.",AmazonCloudWatch,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,CloudWatch Alarms,,,,,,,,,US East (Ohio),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,,,,,,us-east-2,us-east-2,,,,,,AmazonCloudWatch,AmazonCloudWatch,28VSMYRVQXUWCTMA,,,,,,,,,,,,,,,,,,USE2-CW:AlarmMonitorUsage,,,,,,,,,,28VSMYRVQXUWCTMA.JRTCKXETXF.6YS6EN2CT7,9214138785,USD,0.0411111111,0.1000000000,OnDemand,Alarms,,,,,,,,,,,74602618,,,,,,,,,,,,,,,,,,,,,,,,,,
etwotdx7nhd6sd4qlm5s46b3blpxlvgr3ce5fkupnftixy46ulga,2022-09-05T11:00:00Z/2022-09-05T12:00:00Z,,"Amazon Web Services, Inc.",AWS,Anniversary,407724209249,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,502379301106,Usage,2022-09-05T11:00:00Z,2022-09-05T12:00:00Z,AmazonCloudWatch,USE2-CW:AlarmMonitorUsage,Unknown,,,0.4111111111,,,USD,0.1000000000,0.0411111111,0.1000000000,0.0411111111,$0.10 per alarm metric month (standard resolution) - US East (Ohio),,"Amazon Web Services, Inc.",AmazonCloudWatch,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,CloudWatch Alarms,,,,,,,,,US East (Ohio),AWS Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alarm,,,,,,us-east-2,us-east-2,,,,,,AmazonCloudWatch,AmazonCloudWatch,28VSMYRVQXUWCTMA,,,,,,,,,,,,,,,,,,USE2-CW:AlarmMonitorUsage,,,,,,,,,,28VSMYRVQXUWCTMA.JRTCKXETXF.6YS6EN2CT7,9214138785,USD,0.0411111111,0.1000000000,OnDemand,Alarms,,,,,,,,,,,74602618,,,,,,,,,,,,,,,,,,,,,,,,,,
